Field=#~Integer~#~50|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=Part Number~String~Part Number~100|Field=Quantity~Integer~Quantity~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Electro_tester.PrjPcb|ReportField=ProjectFullPath~C:\Users\Evgeny\Desktop\Electro_tester\Electro_tester.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [Electro_tester(temp).PcbDoc]|ReportField=TotalQuantity~103|ReportField=ReportTime~9:14:39 PM|ReportField=ReportDate~6/29/2019|ReportField=ReportDateTime~6/29/2019 9:14:39 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~Electro_tester(temp).PcbDoc|ReportField=DataSourceFullPath~C:\Users\Evgeny\Desktop\Electro_tester\Electro_tester(temp).PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|DC-DC step-up converter for 5/32-V to 5/35-V, USB UART module, Кнопка, Разъем - 2 конт. клеммник|A1, A2, S1, X3|Module XL6009, USB UART CP2102, Button_SMD, TERMINAL-2WAY-3.5MM||4|
2|Конденсатор|C1|C0805|GRM216R71H103K|1|0,01мк
3|Конденсатор|C2, C3, C5, C9, C19, C21, C38|C0805|GRM21BR71H104KA01L |7|0,1мк
4|Конденсатор|C4, C6, C37|C0805|GRM21BR71H105K|3|1мк
5|Конденсатор полярный|C7|TANTAL CASE D|TAJD336K035RNJ|1|33мк
6|Конденсатор полярный|C8, C22, C24, C25, C26, C36|TANTAL CASE A|293D106X9016A2TE3|6|10мк
7|Конденсатор|C10, C11, C13, C14, C15, C16|C0603|GRM188R71H104KA93D|6|0,1мк
8|Конденсатор|C12, C17|C0603|CC0603JRNPO9BN220|2|22
9|Конденсатор|C18|C1206|GRM31CR71E106KA12L*|1|10мк
10|Конденсатор|C23, C33|C0805|GRM21BR61E475KA12L|2|4,7мк
11|Конденсатор|C27|C1210|GRM32ER71H106K|1|10мк
12|Конденсатор|C28|C0603|GRM1885C1H151J|1|150
13|Конденсатор|C29|C1206|GRM319R71H223K|1|0,022мк
14|Конденсатор полярный|C30|K50-35(16X32)|ECAP33uF/450V|1|33мк
15|Конденсатор|C31|C0603|GRM1885C1H101J|1|100
16|Конденсатор|C34|C0805|GRM216R71H222K|1|2200
17|Конденсатор|C35|C1206|CC1206JRNPOBBN101|1|100
18|Low Cost Low Power  Instrumentation Amplifier|DA1|SO8|INA122PU|1|
19|4-Bit Bidirectional Voltage-level Translator|DA2|TSSOP14|TXB0104PWR|1|
20|Step-Down DC-DC Converter|DA3|SOT23-5|LM3671MF-3.3/NOPB|1|
21|High and Low Side Driver|DA4|SO16|IR2110STRPBF|1|
22|Current Mode PWM  Controller for Forward and  Flyback Applications|DA5|SO8|UC3843BD1013TR|1|
23|Medium-density performance line ARM®-based 32-bit MCU with 64  or 128 KB Flash, USB, CAN, 7 timers, 2 ADCs, 9 com. interfaces|DD1|LQFP48|STM32F103C8T6TR|1|
24|Предохранитель|FU1|FUSE812|MF-MSMF260|1|
25|EMI Suppression Filter|L1|L0603|BLM18PG181SN1D|1|0
26|EMI Suppression Filter|L2, L4, L6, L8|SRR0604|SRR0604-3R3ML|4|3,3мкГн
27|EMI Suppression Filter|L3, L5, L9|L0805|CM201212-R18KL|3|0,18мкГн
28|EMI Suppression Filter|L7|SRP1770TA|SRP1770TA-101M|1|100мкГн
29|Резистор|R1|R0805|RC0805FR-07100RL|1|100
30|Potentiometer|R2|3296Y|3296Y-1-202LF|1|2к
31|Резистор|R3|R1206|RC0805FR-07510RL|1|510
32|Резистор|R4, R21|R0805|RC0805FR-0747RL|2|47
33|Резистор|R5|R1206|RC1206FR-074M3|1|4,3М
