"Bill of Material for "
"On 6/4/2019 at 10:53:32 AM"

"Comment","Pattern","Quantity","Components"

"1","KNP-2","1","R22","Резистор"
"Capacitor_pol","K50-35(16X32)","1","C30","Конденсатор полярный"
"Capacitor_pol","TANTAL CASE A","6","C8, C22, C24, C25, C26, C36","Конденсатор полярный"
"Capacitor_pol","TANTAL CASE D","1","C7","Конденсатор полярный"
"Capacitor","C0603","10","C10, C11, C12, C13, C14, C15, C16, C17, C28, C31","Конденсатор"
"Capacitor","C0805","14","C1, C2, C3, C4, C5, C6, C9, C19, C21, C23, C33, C34, C37, C38","Конденсатор"
"Capacitor","C1206","3","C18, C29, C35","Конденсатор"
"Capacitor","C1210","1","C27","Конденсатор"
"Crystal","HC-49S","1","Z1","Кварцевый резонатор"
"Diode","SMA","3","VD1, VD3, VD8","Диод"
"DiodeSchottky","SMA","1","VD6","Диод Шоттки"
"DiodeSchottky","SOD-123","2","VD5, VD9","Диод Шоттки"
"DiodeSchottky","SOD-523","2","VD2, VD7","Диод Шоттки"
"DiodeZener","SMA","1","VD4","Cтабилитрон (лавинный выпрямительный диод) односторонний"
"Fuse","FUSE812","1","FU1","Предохранитель"
"INA122","DIP8","1","DA1","Low Cost Low Power  Instrumentation Amplifier"
"Inductor","L0603","1","L1","EMI Suppression Filter"
"Inductor","L0805","3","L3, L5, L9","EMI Suppression Filter"
"Inductor","SRP1770TA","1","L7","EMI Suppression Filter"
"Inductor","SRR0604","4","L2, L4, L6, L8","EMI Suppression Filter"
"IR2110S","SO16","1","DA4","High and Low Side Driver"
"LM3671MF","SOT23-5","1","DA3","Step-Down DC-DC Converter"
"Module XL6009","Module XL6009","1","A1","DC-DC step-up converter for 5/32-V to 5/35-V"
"N-MOSFET","D2PAK","3","VT2, VT3, VT4","N-MOSFET"
"P-MOSFET","SOT23-3","1","VT1","N-MOSFET"
"Potentiometer","3296Y","2","R2, R18","Potentiometer"
"RESET","Button_SMD","1","S1","Кнопка"
"Resistor_0,062Вт","R0603","2","R9, R10","Резистор"
"Resistor_0,125Вт","R0805","16","R1, R4, R6, R7, R8, R11, R13, R14, R15, R16, R19, R20, R23, R24, R25, R26","Резистор"
"Resistor_0,25Вт","R1206","5","R3, R5, R12, R17, R21","Резистор"
"STM32F103C8T6TR","LQFP48","1","DD1","Medium-density performance line ARM®-based 32-bit MCU with 64  or 128 KB Flash, USB, CAN, 7 timers, 2 ADCs, 9 com. interfaces"
"TXB0104","TSSOP14","1","DA2","4-Bit Bidirectional Voltage-level Translator"
"UC384X","SO8","1","DA5","Current Mode PWM  Controller for Forward and  Flyback Applications"
"USB UART","USB UART CP2102","1","U1","USB UART module cp2102"
"Вход питания","CWF-2R","2","X2, X3","Разъем - 2 конт. розетка"
"Программатор","PLS2-6","1","X1","Разъем - 6 конт. розетка"
